"id_kit","cod_programa","nom_programa","programa","cod_meta","nom_meta","meta","cod_subfin","nom_subfin","sub_finalidad","cod_producto","cod_actividad","cod_clasificador","nom_clasificador","clasificador","nivel","tipo_bien","tipo_calculo","cod_item_fam","nom_item_fam","item_fam"
156,17,"ENFERMEDADES METAXENICAS Y ZOONOSIS","0017 ENFERMEDADES METAXENICAS Y ZOONOSIS",51,"POBLADORES DE AREAS CON RIESGO DE TRASMISION INFORMADA CONOCE LOS MECANISMOS DE TRASMISION DE ENFERMEDADES METAXENICAS Y ZOONOTICAS","51 POBLADORES DE AREAS CON RIESGO DE TRASMISION INFORMADA CONOCE LOS MECANISMOS DE TRASMISION DE ENFERMEDADES METAXENICAS Y ZOONOTICAS",247,"POBLACION INFORMADA SOBRE PREVENCION Y CONTROL DE LAS ENFERMEDADES METAXENICAS Y ZOONOTICAS POR MEDIOS ALTERNATIVOS","4398002 POBLACION INFORMADA SOBRE PREVENCION Y CONTROL DE LAS ENFERMEDADES METAXENICAS Y ZOONOTICAS POR MEDIOS ALTERNATIVOS","3043980","5000090","2.3. 2  5. 1  3","DE MOBILIARIO Y SIMILARES","2.3. 2  5. 1  3 DE MOBILIARIO Y SIMILARES","I","S",2,"941000010010","ALQUILER DE MESAS Y SILLAS","941000010010 ALQUILER DE MESAS Y SILLAS"
157,16,"TBC-VIH/SIDA","0016 TBC-VIH/SIDA",33,"DIAGNOSTICO DE CASOS DE TUBERCULOSIS","33 DIAGNOSTICO DE CASOS DE TUBERCULOSIS",209,"DIAGNOSTICO DE TUBERCULOSIS PULMONAR","4396401 DIAGNOSTICO DE TUBERCULOSIS PULMONAR","3000614","5004438","2.3. 2  5. 1  3","DE MOBILIARIO Y SIMILARES","2.3. 2  5. 1  3 DE MOBILIARIO Y SIMILARES","I","S",2,"941000010010","ALQUILER DE MESAS Y SILLAS","941000010010 ALQUILER DE MESAS Y SILLAS"
158,16,"TBC-VIH/SIDA","0016 TBC-VIH/SIDA",33,"DIAGNOSTICO DE CASOS DE TUBERCULOSIS","33 DIAGNOSTICO DE CASOS DE TUBERCULOSIS",210,"DIAGNOSTICO DE TUBERCULOSIS EXTRA PULMONAR","4396402 DIAGNOSTICO DE TUBERCULOSIS EXTRA PULMONAR","3000614","5004438","2.3. 2  5. 1  3","DE MOBILIARIO Y SIMILARES","2.3. 2  5. 1  3 DE MOBILIARIO Y SIMILARES","I","S",2,"941000010010","ALQUILER DE MESAS Y SILLAS","941000010010 ALQUILER DE MESAS Y SILLAS"
159,17,"ENFERMEDADES METAXENICAS Y ZOONOSIS","0017 ENFERMEDADES METAXENICAS Y ZOONOSIS",51,"POBLADORES DE AREAS CON RIESGO DE TRASMISION INFORMADA CONOCE LOS MECANISMOS DE TRASMISION DE ENFERMEDADES METAXENICAS Y ZOONOTICAS","51 POBLADORES DE AREAS CON RIESGO DE TRASMISION INFORMADA CONOCE LOS MECANISMOS DE TRASMISION DE ENFERMEDADES METAXENICAS Y ZOONOTICAS",247,"POBLACION INFORMADA SOBRE PREVENCION Y CONTROL DE LAS ENFERMEDADES METAXENICAS Y ZOONOTICAS POR MEDIOS ALTERNATIVOS","4398002 POBLACION INFORMADA SOBRE PREVENCION Y CONTROL DE LAS ENFERMEDADES METAXENICAS Y ZOONOTICAS POR MEDIOS ALTERNATIVOS","3043980","5000090","2.3. 2  5. 1  3","DE MOBILIARIO Y SIMILARES","2.3. 2  5. 1  3 DE MOBILIARIO Y SIMILARES","I","S",2,"941000010019","ALQUILER DE MESAS","941000010019 ALQUILER DE MESAS"
160,18,"ENFERMEDADES NO TRANSMISIBLES","0018 ENFERMEDADES NO TRANSMISIBLES",57,"DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ENFERMEDADES NO TRASMISIBLES","57 DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ENFERMEDADES NO TRASMISIBLES",676,"DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ENFERMEDADES NO TRANSMISIBLES","0043986 DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ENFERMEDADES NO TRANSMISIBLES","3000001","5004453","2.3. 2  5. 1  3","DE MOBILIARIO Y SIMILARES","2.3. 2  5. 1  3 DE MOBILIARIO Y SIMILARES","I","S",2,"941000010050","ALQUILER DE ESTRADO","941000010050 ALQUILER DE ESTRADO"
161,18,"ENFERMEDADES NO TRANSMISIBLES","0018 ENFERMEDADES NO TRANSMISIBLES",64,"BRINDAR TRATAMIENTO A PERSONAS CON DIAGNOSTICO DE DIABETES MELLITUS","64 BRINDAR TRATAMIENTO A PERSONAS CON DIAGNOSTICO DE DIABETES MELLITUS",388,"PACIENTE DIABÉTICO NO COMPLICADO CONTROLADO ","5001703 PACIENTE DIABÉTICO NO COMPLICADO CONTROLADO ","3000017","5000115","2.6. 3  2. 3  3","EQUIPOS DE TELECOMUNICACIONES","2.6. 3  2. 3  3 EQUIPOS DE TELECOMUNICACIONES","I","B",3,"952283250017","TELEFONO CELULAR INTELIGENTE - SMARTPHONE","952283250017 TELEFONO CELULAR INTELIGENTE - SMARTPHONE"
162,16,"TBC-VIH/SIDA","0016 TBC-VIH/SIDA",33,"DIAGNOSTICO DE CASOS DE TUBERCULOSIS","33 DIAGNOSTICO DE CASOS DE TUBERCULOSIS",210,"DIAGNOSTICO DE TUBERCULOSIS EXTRA PULMONAR","4396402 DIAGNOSTICO DE TUBERCULOSIS EXTRA PULMONAR","3000614","5004438","2.3. 2  9. 1  1","LOCACION DE SERVICIOS REALIZADOS POR PERSONAS NATURALES RELACIONADAS AL ROL DE LA ENTIDAD","2.3. 2  9. 1  1 LOCACION DE SERVICIOS REALIZADOS POR PERSONAS NATURALES RELACIONADAS AL ROL DE LA ENTIDAD","I","S",2,"071100384590","SERVICIO ESPECIALIZADO EN ANALISIS DE DATOS Y ESTADISTICAS","071100384590 SERVICIO ESPECIALIZADO EN ANALISIS DE DATOS Y ESTADISTICAS"
163,18,"ENFERMEDADES NO TRANSMISIBLES","0018 ENFERMEDADES NO TRANSMISIBLES",56,"MONITOREO, SUPERVISION, EVALUACION Y CONTROL DE ENFERMEDADES NO TRASMISIBLES","56 MONITOREO, SUPERVISION, EVALUACION Y CONTROL DE ENFERMEDADES NO TRASMISIBLES",392,"EVALUACION DEL PROGRAMA DE NO TRASMISIBLES","4398503 EVALUACION DEL PROGRAMA DE NO TRASMISIBLES","3000001","5004452","2.3. 2  7.11 99","SERVICIOS DIVERSOS","2.3. 2  7.11 99 SERVICIOS DIVERSOS","I","S",2,"260200010031","SERVICIO DE COSTURA Y BORDADO DE MALETINES","260200010031 SERVICIO DE COSTURA Y BORDADO DE MALETINES"
164,18,"ENFERMEDADES NO TRANSMISIBLES","0018 ENFERMEDADES NO TRANSMISIBLES",57,"DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ENFERMEDADES NO TRASMISIBLES","57 DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ENFERMEDADES NO TRASMISIBLES",676,"DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ENFERMEDADES NO TRANSMISIBLES","0043986 DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ENFERMEDADES NO TRANSMISIBLES","3000001","5004453","2.3. 2  7.11  6","SERVICIO DE IMPRESIONES, ENCUADERNACION Y EMPASTADO","2.3. 2  7.11  6 SERVICIO DE IMPRESIONES, ENCUADERNACION Y EMPASTADO","I","S",2,"500100050561","SERVICIO DE IMPRESIONES EN GENERAL","500100050561 SERVICIO DE IMPRESIONES EN GENERAL"
165,16,"TBC-VIH/SIDA","0016 TBC-VIH/SIDA",33,"DIAGNOSTICO DE CASOS DE TUBERCULOSIS","33 DIAGNOSTICO DE CASOS DE TUBERCULOSIS",209,"DIAGNOSTICO DE TUBERCULOSIS PULMONAR","4396401 DIAGNOSTICO DE TUBERCULOSIS PULMONAR","3000614","5004438","2.3. 2  7. 4 99","OTROS SERVICIOS DE INFORMATICA","2.3. 2  7. 4 99 OTROS SERVICIOS DE INFORMATICA","I","S",2,"170100010015","SERVICIO ESPECIALIZADO DE DIGITACION","170100010015 SERVICIO ESPECIALIZADO DE DIGITACION"
166,18,"ENFERMEDADES NO TRANSMISIBLES","0018 ENFERMEDADES NO TRANSMISIBLES",64,"BRINDAR TRATAMIENTO A PERSONAS CON DIAGNOSTICO DE DIABETES MELLITUS","64 BRINDAR TRATAMIENTO A PERSONAS CON DIAGNOSTICO DE DIABETES MELLITUS",1438,"MANEJO DEL SOBREPESO Y OBESIDAD","5001706 MANEJO DEL SOBREPESO Y OBESIDAD","3000017","5000115","2.3. 2  9. 1  1","LOCACION DE SERVICIOS REALIZADOS POR PERSONAS NATURALES RELACIONADAS AL ROL DE LA ENTIDAD","2.3. 2  9. 1  1 LOCACION DE SERVICIOS REALIZADOS POR PERSONAS NATURALES RELACIONADAS AL ROL DE LA ENTIDAD","I","S",2,"070500030033","SERVICIO DE ASISTENCIA SOCIAL","070500030033 SERVICIO DE ASISTENCIA SOCIAL"
167,129,"PREVENCION Y MANEJO DE CONDICIONES SECUNDARIAS DE SALUD EN PERSONAS CON DISCAPACIDAD","0129 PREVENCION Y MANEJO DE CONDICIONES SECUNDARIAS DE SALUD EN PERSONAS CON DISCAPACIDAD",108,"DESARROLLO DE NORMAS Y GUIAS TECNICAS EN DISCAPACIDAD","108 DESARROLLO DE NORMAS Y GUIAS TECNICAS EN DISCAPACIDAD",1429,"IMPLEMENTACIÓN DE DOCUMENTOS TÉCNICOS NORMATIVOS","5005146 IMPLEMENTACIÓN DE DOCUMENTOS TÉCNICOS NORMATIVOS","3000001","5005144","2.3. 2  7. 1  1","CONSULTORIAS","2.3. 2  7. 1  1 CONSULTORIAS","I","S",2,"070100161940","CONSULTORIA EN TEMAS DE SALUD Y JUSTICIA","070100161940 CONSULTORIA EN TEMAS DE SALUD Y JUSTICIA"
168,17,"ENFERMEDADES METAXENICAS Y ZOONOSIS","0017 ENFERMEDADES METAXENICAS Y ZOONOSIS",47,"MONITOREO, SUPERVISION, EVALUACION Y CONTROL METAXENICAS Y ZOONOSIS","47 MONITOREO, SUPERVISION, EVALUACION Y CONTROL METAXENICAS Y ZOONOSIS",1331,"EVALUACIÓN DE DIAGNOSTICO ESPECIALIZADO","4397505 EVALUACIÓN DE DIAGNOSTICO ESPECIALIZADO","3000001","5000085","2.3. 2  7. 1  1","CONSULTORIAS","2.3. 2  7. 1  1 CONSULTORIAS","I","S",2,"070100164032","CONSULTORIA PARA IDENTIFICACIÓN Y ELABORACIÓN DE CONTENIDOS EN MATERIA DE SALUD","070100164032 CONSULTORIA PARA IDENTIFICACIÓN Y ELABORACIÓN DE CONTENIDOS EN MATERIA DE SALUD"
169,68,"REDUCCION DE VULNERABILIDAD Y ATENCION DE EMERGENCIAS POR DESASTRES","0068 REDUCCION DE VULNERABILIDAD Y ATENCION DE EMERGENCIAS POR DESASTRES",90,"MONITOREO, SUPERVISION Y EVALUACION DE PRODUCTOS Y ACTIVIDADES EN GESTION DE RIESGO DE DESASTRES","90 MONITOREO, SUPERVISION Y EVALUACION DE PRODUCTOS Y ACTIVIDADES EN GESTION DE RIESGO DE DESASTRES",836,"MONITOREO,SUPERVICION Y EVALUACION DE PRODUCTOS Y ACTIVIDADES EN GESTION DE RIESGO DE DESASTRES","5004279 MONITOREO,SUPERVICION Y EVALUACION DE PRODUCTOS Y ACTIVIDADES EN GESTION DE RIESGO DE DESASTRES","3000001","5004279","2.3. 2  8. 1  1","CONTRATO ADMINISTRATIVO DE SERVICIOS","2.3. 2  8. 1  1 CONTRATO ADMINISTRATIVO DE SERVICIOS","I","S",1,"080500050013","CONTRATACION DE PERSONAL TECNICO ADMINISTRATIVO","080500050013 CONTRATACION DE PERSONAL TECNICO ADMINISTRATIVO"
170,131,"CONTROL Y PREVENCION EN SALUD MENTAL","0131 CONTROL Y PREVENCION EN SALUD MENTAL",122,"TRATAMIENTO AMBULATORIO DEPERSONAS CON TRASTORNOS AFECTIVOS (DEPRESION Y CONDUCTA SUICIDA) Y DE ANSIEDAD","122 TRATAMIENTO AMBULATORIO DEPERSONAS CON TRASTORNOS AFECTIVOS (DEPRESION Y CONDUCTA SUICIDA) Y DE ANSIEDAD",1437,"TRATAMIENTO AMBULATORIO DE PERSONAS CON DEPRESIÓN","5005190 TRATAMIENTO AMBULATORIO DE PERSONAS CON DEPRESIÓN","3000700","5005190","2.3. 2  8. 1  1","CONTRATO ADMINISTRATIVO DE SERVICIOS","2.3. 2  8. 1  1 CONTRATO ADMINISTRATIVO DE SERVICIOS","I","S",1,"080500050013","CONTRATACION DE PERSONAL TECNICO ADMINISTRATIVO","080500050013 CONTRATACION DE PERSONAL TECNICO ADMINISTRATIVO"
171,131,"CONTROL Y PREVENCION EN SALUD MENTAL","0131 CONTROL Y PREVENCION EN SALUD MENTAL",125,"TRATAMIENTO CON INTERNAMIENTO DE PERSONAS CON SINDROME O TRASTORNO PSICOTICO","125 TRATAMIENTO CON INTERNAMIENTO DE PERSONAS CON SINDROME O TRASTORNO PSICOTICO",805,"TRATAMIENTO CON INTERNAMIENTO DE PERSONAS CON SÍNDROME O TRASTORNO PSICÓTICO EN HOSPITALES","5005196 TRATAMIENTO CON INTERNAMIENTO DE PERSONAS CON SÍNDROME O TRASTORNO PSICÓTICO EN HOSPITALES","3000702","5005196","2.3. 2  8. 1  1","CONTRATO ADMINISTRATIVO DE SERVICIOS","2.3. 2  8. 1  1 CONTRATO ADMINISTRATIVO DE SERVICIOS","I","S",1,"080500050013","CONTRATACION DE PERSONAL TECNICO ADMINISTRATIVO","080500050013 CONTRATACION DE PERSONAL TECNICO ADMINISTRATIVO"
172,16,"TBC-VIH/SIDA","0016 TBC-VIH/SIDA",33,"DIAGNOSTICO DE CASOS DE TUBERCULOSIS","33 DIAGNOSTICO DE CASOS DE TUBERCULOSIS",209,"DIAGNOSTICO DE TUBERCULOSIS PULMONAR","4396401 DIAGNOSTICO DE TUBERCULOSIS PULMONAR","3000614","5004438","2.3. 2  9. 1  1","LOCACION DE SERVICIOS REALIZADOS POR PERSONAS NATURALES RELACIONADAS AL ROL DE LA ENTIDAD","2.3. 2  9. 1  1 LOCACION DE SERVICIOS REALIZADOS POR PERSONAS NATURALES RELACIONADAS AL ROL DE LA ENTIDAD","I","S",2,"070500030115","SERVICIO ESPECIALIZADO DE TRAUMATOLOGIA","070500030115 SERVICIO ESPECIALIZADO DE TRAUMATOLOGIA"
173,17,"ENFERMEDADES METAXENICAS Y ZOONOSIS","0017 ENFERMEDADES METAXENICAS Y ZOONOSIS",47,"MONITOREO, SUPERVISION, EVALUACION Y CONTROL METAXENICAS Y ZOONOSIS","47 MONITOREO, SUPERVISION, EVALUACION Y CONTROL METAXENICAS Y ZOONOSIS",1331,"EVALUACIÓN DE DIAGNOSTICO ESPECIALIZADO","4397505 EVALUACIÓN DE DIAGNOSTICO ESPECIALIZADO","3000001","5000085","2.3. 2  7.11 99","SERVICIOS DIVERSOS","2.3. 2  7.11 99 SERVICIOS DIVERSOS","I","S",2,"050100010008","SERVICIO DE ALOJAMIENTO Y ALIMENTACIÓN","050100010008 SERVICIO DE ALOJAMIENTO Y ALIMENTACIÓN"
174,18,"ENFERMEDADES NO TRANSMISIBLES","0018 ENFERMEDADES NO TRANSMISIBLES",57,"DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ENFERMEDADES NO TRASMISIBLES","57 DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ENFERMEDADES NO TRASMISIBLES",676,"DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ENFERMEDADES NO TRANSMISIBLES","0043986 DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ENFERMEDADES NO TRANSMISIBLES","3000001","5004453","2.3. 2  7. 2  1","CONSULTORIAS","2.3. 2  7. 2  1 CONSULTORIAS","I","S",2,"070100160025","CONSULTORIA ASISTENCIA TECNICA","070100160025 CONSULTORIA ASISTENCIA TECNICA"
175,18,"ENFERMEDADES NO TRANSMISIBLES","0018 ENFERMEDADES NO TRANSMISIBLES",56,"MONITOREO, SUPERVISION, EVALUACION Y CONTROL DE ENFERMEDADES NO TRASMISIBLES","56 MONITOREO, SUPERVISION, EVALUACION Y CONTROL DE ENFERMEDADES NO TRASMISIBLES",392,"EVALUACION DEL PROGRAMA DE NO TRASMISIBLES","4398503 EVALUACION DEL PROGRAMA DE NO TRASMISIBLES","3000001","5004452","2.3. 2  7. 2  1","CONSULTORIAS","2.3. 2  7. 2  1 CONSULTORIAS","I","S",2,"070100160025","CONSULTORIA ASISTENCIA TECNICA","070100160025 CONSULTORIA ASISTENCIA TECNICA"
176,2,"SALUD MATERNO NEONATAL","0002 SALUD MATERNO NEONATAL",19,"ATENCION DE LA GESTANTE CON COMPLICACIONES","19 ATENCION DE LA GESTANTE CON COMPLICACIONES",1421,"GESTANTE CON ANEMIA","3329418 GESTANTE CON ANEMIA","3033294","5000044","2.3. 2  7.11 99","SERVICIOS DIVERSOS","2.3. 2  7.11 99 SERVICIOS DIVERSOS","I","S",2,"070500030445","SERVICIO DE MEDICINA ESPECIALIZADO EN HEMATOLOGIA","070500030445 SERVICIO DE MEDICINA ESPECIALIZADO EN HEMATOLOGIA"
177,17,"ENFERMEDADES METAXENICAS Y ZOONOSIS","0017 ENFERMEDADES METAXENICAS Y ZOONOSIS",55,"DIAGNOSTICO Y TRATAMIENTO DE CASOS DE ENFERMEDADES ZOONOTICAS","55 DIAGNOSTICO Y TRATAMIENTO DE CASOS DE ENFERMEDADES ZOONOTICAS",311,"DIAGNOSTICO CONFIRMATORIO DE CISTICERCOSIS","4398427 DIAGNOSTICO CONFIRMATORIO DE CISTICERCOSIS","3043984","5000094","2.3. 2  7.11 99","SERVICIOS DIVERSOS","2.3. 2  7.11 99 SERVICIOS DIVERSOS","I","S",2,"070500010892","SERVICIO DE SÍNTESIS DE OLIGONUCLEÓTIDOS PERSONALIZADOS","070500010892 SERVICIO DE SÍNTESIS DE OLIGONUCLEÓTIDOS PERSONALIZADOS"
178,1,"PROGRAMA ARTICULADO NUTRICIONAL","0001 PROGRAMA ARTICULADO NUTRICIONAL",3,"MONITOREO, SUPERVISION, EVALUACION Y CONTROL DEL PROGRAMA ARTICULADO NUTRICIONAL","3 MONITOREO, SUPERVISION, EVALUACION Y CONTROL DEL PROGRAMA ARTICULADO NUTRICIONAL",1324,"EVALUACIÓN DE DIAGNOSTICO ESPECIALIZADO","4427605 EVALUACIÓN DE DIAGNOSTICO ESPECIALIZADO","3000001","5004426","2.3. 2  7.11 99","SERVICIOS DIVERSOS","2.3. 2  7.11 99 SERVICIOS DIVERSOS","I","S",1,"070500010892","SERVICIO DE SÍNTESIS DE OLIGONUCLEÓTIDOS PERSONALIZADOS","070500010892 SERVICIO DE SÍNTESIS DE OLIGONUCLEÓTIDOS PERSONALIZADOS"
179,16,"TBC-VIH/SIDA","0016 TBC-VIH/SIDA",44,"BRINDAR ATENCION INTEGRAL A PERSONAS CON DIAGNOSTICO DE VIH QUE ACUDEN A LOS SERVICIOS","44 BRINDAR ATENCION INTEGRAL A PERSONAS CON DIAGNOSTICO DE VIH QUE ACUDEN A LOS SERVICIOS",222,"ADULTOS Y JÓVENES CON DIAGNÓSTICO DE VIH QUE RECIBEN ATENCIÓN INTEGRAL","4396902 ADULTOS Y JÓVENES CON DIAGNÓSTICO DE VIH QUE RECIBEN ATENCIÓN INTEGRAL","3043969","5000079","2.3. 2  9. 1  1","LOCACION DE SERVICIOS REALIZADOS POR PERSONAS NATURALES RELACIONADAS AL ROL DE LA ENTIDAD","2.3. 2  9. 1  1 LOCACION DE SERVICIOS REALIZADOS POR PERSONAS NATURALES RELACIONADAS AL ROL DE LA ENTIDAD","I","S",2,"070500010892","SERVICIO DE SÍNTESIS DE OLIGONUCLEÓTIDOS PERSONALIZADOS","070500010892 SERVICIO DE SÍNTESIS DE OLIGONUCLEÓTIDOS PERSONALIZADOS"
180,16,"TBC-VIH/SIDA","0016 TBC-VIH/SIDA",33,"DIAGNOSTICO DE CASOS DE TUBERCULOSIS","33 DIAGNOSTICO DE CASOS DE TUBERCULOSIS",210,"DIAGNOSTICO DE TUBERCULOSIS EXTRA PULMONAR","4396402 DIAGNOSTICO DE TUBERCULOSIS EXTRA PULMONAR","3000614","5004438","2.3. 2  7. 4 99","OTROS SERVICIOS DE INFORMATICA","2.3. 2  7. 4 99 OTROS SERVICIOS DE INFORMATICA","I","S",2,"170100010015","SERVICIO ESPECIALIZADO DE DIGITACION","170100010015 SERVICIO ESPECIALIZADO DE DIGITACION"
181,18,"ENFERMEDADES NO TRANSMISIBLES","0018 ENFERMEDADES NO TRANSMISIBLES",56,"MONITOREO, SUPERVISION, EVALUACION Y CONTROL DE ENFERMEDADES NO TRASMISIBLES","56 MONITOREO, SUPERVISION, EVALUACION Y CONTROL DE ENFERMEDADES NO TRASMISIBLES",392,"EVALUACION DEL PROGRAMA DE NO TRASMISIBLES","4398503 EVALUACION DEL PROGRAMA DE NO TRASMISIBLES","3000001","5004452","2.3. 2  7. 4  2","PROCESAMIENTOS DE DATOS","2.3. 2  7. 4  2 PROCESAMIENTOS DE DATOS","I","S",2,"170100010015","SERVICIO ESPECIALIZADO DE DIGITACION","170100010015 SERVICIO ESPECIALIZADO DE DIGITACION"
182,16,"TBC-VIH/SIDA","0016 TBC-VIH/SIDA",33,"DIAGNOSTICO DE CASOS DE TUBERCULOSIS","33 DIAGNOSTICO DE CASOS DE TUBERCULOSIS",209,"DIAGNOSTICO DE TUBERCULOSIS PULMONAR","4396401 DIAGNOSTICO DE TUBERCULOSIS PULMONAR","3000614","5004438","2.3. 2  7.11  5","SERVICIOS DE ALIMENTACION DE CONSUMO HUMANO","2.3. 2  7.11  5 SERVICIOS DE ALIMENTACION DE CONSUMO HUMANO","I","S",2,"040100010008","SERVICIO DE COFFEE BREAK","040100010008 SERVICIO DE COFFEE BREAK"
183,1,"PROGRAMA ARTICULADO NUTRICIONAL","0001 PROGRAMA ARTICULADO NUTRICIONAL",7,"FAMILIAS SALUDABLES CON CONOCIMIENTOS PARA EL CUIDADO INFANTIL, LACTANCIA MATERNA EXCLUSIVA Y LA ADECUADA ALIMENTACION Y PROTECCION DEL MENOR DE 36 ME","7 FAMILIAS SALUDABLES CON CONOCIMIENTOS PARA EL CUIDADO INFANTIL, LACTANCIA MATERNA EXCLUSIVA Y LA ADECUADA ALIMENTACION Y PROTECCION DEL MENOR DE 36 ME",1092,"FAMILIAS CON NIÑOS MENORES DE 24 MESES RECIBEN CONSEJERÍA A  TRAVÉS DE VISITA DOMICILIARIA","3325107 FAMILIAS CON NIÑOS MENORES DE 24 MESES RECIBEN CONSEJERÍA A  TRAVÉS DE VISITA DOMICILIARIA","3033251","5000014","2.3. 2  7.11  5","SERVICIOS DE ALIMENTACION DE CONSUMO HUMANO","2.3. 2  7.11  5 SERVICIOS DE ALIMENTACION DE CONSUMO HUMANO","I","S",5,"040100010008","SERVICIO DE COFFEE BREAK","040100010008 SERVICIO DE COFFEE BREAK"
184,18,"ENFERMEDADES NO TRANSMISIBLES","0018 ENFERMEDADES NO TRANSMISIBLES",57,"DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ENFERMEDADES NO TRASMISIBLES","57 DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ENFERMEDADES NO TRASMISIBLES",676,"DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ENFERMEDADES NO TRANSMISIBLES","0043986 DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ENFERMEDADES NO TRANSMISIBLES","3000001","5004453","2.3. 2  7.11  5","SERVICIOS DE ALIMENTACION DE CONSUMO HUMANO","2.3. 2  7.11  5 SERVICIOS DE ALIMENTACION DE CONSUMO HUMANO","I","S",2,"040100010009","SERVICIO DE DESAYUNOS, ALMUERZOS, CENAS, COFFE BREAK","040100010009 SERVICIO DE DESAYUNOS, ALMUERZOS, CENAS, COFFE BREAK"
185,18,"ENFERMEDADES NO TRANSMISIBLES","0018 ENFERMEDADES NO TRANSMISIBLES",56,"MONITOREO, SUPERVISION, EVALUACION Y CONTROL DE ENFERMEDADES NO TRASMISIBLES","56 MONITOREO, SUPERVISION, EVALUACION Y CONTROL DE ENFERMEDADES NO TRASMISIBLES",392,"EVALUACION DEL PROGRAMA DE NO TRASMISIBLES","4398503 EVALUACION DEL PROGRAMA DE NO TRASMISIBLES","3000001","5004452","2.3. 2  7.11  5","SERVICIOS DE ALIMENTACION DE CONSUMO HUMANO","2.3. 2  7.11  5 SERVICIOS DE ALIMENTACION DE CONSUMO HUMANO","I","S",2,"040100010009","SERVICIO DE DESAYUNOS, ALMUERZOS, CENAS, COFFE BREAK","040100010009 SERVICIO DE DESAYUNOS, ALMUERZOS, CENAS, COFFE BREAK"
186,18,"ENFERMEDADES NO TRANSMISIBLES","0018 ENFERMEDADES NO TRANSMISIBLES",57,"DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ENFERMEDADES NO TRASMISIBLES","57 DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ENFERMEDADES NO TRASMISIBLES",676,"DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ENFERMEDADES NO TRANSMISIBLES","0043986 DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ENFERMEDADES NO TRANSMISIBLES","3000001","5004453","2.6. 3  2. 3  3","EQUIPOS DE TELECOMUNICACIONES","2.6. 3  2. 3  3 EQUIPOS DE TELECOMUNICACIONES","I","B",3,"952218640009","CONSOLA DE SONIDO DE 32 CANALES DE SALIDA","952218640009 CONSOLA DE SONIDO DE 32 CANALES DE SALIDA"
187,18,"ENFERMEDADES NO TRANSMISIBLES","0018 ENFERMEDADES NO TRANSMISIBLES",57,"DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ENFERMEDADES NO TRASMISIBLES","57 DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ENFERMEDADES NO TRASMISIBLES",676,"DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ENFERMEDADES NO TRANSMISIBLES","0043986 DESARROLLO DE NORMAS Y GUIAS TECNICAS EN ENFERMEDADES NO TRANSMISIBLES","3000001","5004453","2.3. 2  7. 1  1","CONSULTORIAS","2.3. 2  7. 1  1 CONSULTORIAS","I","S",2,"070100160150","CONSULTORIA EN ESTUDIO DE INVESTIGACION EN SALUD PUBLICA","070100160150 CONSULTORIA EN ESTUDIO DE INVESTIGACION EN SALUD PUBLICA"
188,17,"ENFERMEDADES METAXENICAS Y ZOONOSIS","0017 ENFERMEDADES METAXENICAS Y ZOONOSIS",55,"DIAGNOSTICO Y TRATAMIENTO DE CASOS DE ENFERMEDADES ZOONOTICAS","55 DIAGNOSTICO Y TRATAMIENTO DE CASOS DE ENFERMEDADES ZOONOTICAS",311,"DIAGNOSTICO CONFIRMATORIO DE CISTICERCOSIS","4398427 DIAGNOSTICO CONFIRMATORIO DE CISTICERCOSIS","3043984","5000094","2.3. 2  4. 7  1","DE MAQUINARIAS Y EQUIPOS","2.3. 2  4. 7  1 DE MAQUINARIAS Y EQUIPOS","I","S",2,"606500180008","MANTENIMIENTO PREVENTIVO DE MICROSCOPIO DE CAMPO","606500180008 MANTENIMIENTO PREVENTIVO DE MICROSCOPIO DE CAMPO"
